specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
Adolescent Medicine,Division Chief,South,30,135,491881,546535,601188,655842,9195,10217,11238,12260,97,109,120,130
Adolescent Medicine,Division Chief,West,52,141,557803,619782,681759,743738,9353,10393,11431,12471,109,122,134,146
Adolescent Medicine,Department Chair,National,40,138,554633,616260,677886,739512,9112,10125,11137,12150,97,109,119,130
Adolescent Medicine,Department Chair,Northeast,55,136,593458,659399,725338,791278,6539,7266,7992,8719,107,120,132,144
Adolescent Medicine,Department Chair,North Central,31,46,526902,585447,643991,702537,9007,10009,11009,12010,109,122,134,146
Adolescent Medicine,Department Chair,South,64,127,537994,597772,657549,717327,8347,9275,10202,11129,99,111,122,133
Adolescent Medicine,Department Chair,West,68,104,610097,677886,745674,813464,9040,10045,11049,12054,112,126,138,151
Adolescent Medicine,Chief of Surgery,National,53,156,574442,638270,702096,765924,7565,8406,9246,10087,95,107,118,128
Adolescent Medicine,Chief of Surgery,Northeast,57,71,614653,682948,751243,819538,9399,10444,11487,12532,112,125,138,150
Adolescent Medicine,Chief of Surgery,North Central,71,40,545720,606356,666991,727627,9498,10554,11609,12665,100,112,123,135
Adolescent Medicine,Chief of Surgery,South,51,157,557209,619121,681033,742946,7313,8126,8938,9751,110,123,135,148
Adolescent Medicine,Chief of Surgery,West,50,39,631886,702097,772305,842516,9134,10149,11164,12179,96,108,119,129
Allergy/Immunology,Staff Physician,National,122,364,547932,608814,669695,730576,8424,9361,10297,11233,53,59,64,70
Allergy/Immunology,Staff Physician,Northeast,98,529,586287,651431,716573,781716,8424,9361,10297,11233,53,59,64,70
Allergy/Immunology,Staff Physician,North Central,82,1118,520535,578373,636210,694047,8424,9361,10297,11233,53,59,64,70
Allergy/Immunology,Staff Physician,South,96,736,531494,590549,649604,708659,8424,9361,10297,11233,53,59,64,70
Allergy/Immunology,Staff Physician,West,112,1009,602725,669695,736664,803633,8424,9361,10297,11233,53,59,64,70
Allergy/Immunology,Program Director,National,70,187,646559,718400,790240,862080,5126,5696,6266,6835,64,71,77,84
Allergy/Immunology,Program Director,Northeast,78,97,691818,768688,845557,922425,5826,6475,7122,7770,72,80,87,95
Allergy/Immunology,Program Director,North Central,45,108,614231,682480,750728,818976,5605,6229,6852,7475,66,74,80,88
Allergy/Immunology,Program Director,South,31,21,627162,696848,766533,836217,5943,6604,7264,7924,69,77,84,92
Allergy/Immunology,Program Director,West,73,71,711215,790240,869264,948288,6453,7171,7888,8605,66,73,80,87
Allergy/Immunology,Division Chief,National,62,158,701352,779282,857209,935137,5612,6236,6860,7484,71,79,86,94
Allergy/Immunology,Division Chief,Northeast,36,104,750447,833831,917214,1000597,5996,6663,7330,7996,62,69,75,82
Allergy/Immunology,Division Chief,North Central,34,109,666285,740318,814349,888380,7352,8170,8987,9804,69,77,84,91
Allergy/Immunology,Division Chief,South,54,134,680312,755903,831493,907083,5780,6423,7065,7708,63,71,77,84
Allergy/Immunology,Division Chief,West,41,52,771488,857210,942930,1028651,6257,6953,7648,8343,68,75,82,89
Allergy/Immunology,Department Chair,National,51,193,767104,852339,937573,1022806,5458,6065,6671,7278,70,78,85,93
Allergy/Immunology,Department Chair,Northeast,45,39,820802,912003,1003203,1094403,6725,7473,8220,8968,72,81,87,96
Allergy/Immunology,Department Chair,North Central,38,52,728749,809722,890694,971666,5929,6589,7247,7906,64,72,78,85
Allergy/Immunology,Department Chair,South,40,37,744091,826769,909446,992122,5806,6452,7097,7742,71,79,86,94
Allergy/Immunology,Department Chair,West,53,121,843815,937573,1031330,1125087,6458,7176,7894,8611,60,67,73,80
Allergy/Immunology,Chief of Surgery,National,71,125,794501,882780,971058,1059335,6355,7062,7768,8474,73,82,89,97
Allergy/Immunology,Chief of Surgery,Northeast,77,82,850116,944575,1039032,1133489,6945,7718,8489,9261,67,74,80,88
Allergy/Immunology,Chief of Surgery,North Central,71,99,754776,838641,922505,1006368,5691,6324,6957,7589,64,71,77,85
Allergy/Immunology,Chief of Surgery,South,35,27,770666,856297,941926,1027555,6288,6988,7686,8385,73,82,89,97
Allergy/Immunology,Chief of Surgery,West,43,193,873951,971058,1068163,1165269,5752,6392,7031,7670,67,75,81,89
Anesthesiology,Staff Physician,National,89,636,563399,625999,688599,751199,7096,7885,8673,9462,63,71,78,85
Anesthesiology,Staff Physician,Northeast,75,293,602837,669819,736801,803783,7096,7885,8673,9462,63,71,78,85
Anesthesiology,Staff Physician,North Central,119,1077,535229,594699,654169,713639,7096,7885,8673,9462,63,71,78,85
Anesthesiology,Staff Physician,South,63,277,546497,607219,667941,728663,7096,7885,8673,9462,63,71,78,85
Anesthesiology,Staff Physician,West,109,1178,619739,688599,757459,826319,7096,7885,8673,9462,63,71,78,85
Anesthesiology,Program Director,National,73,104,664811,738679,812547,886415,4538,5043,5547,6052,83,94,103,113
Anesthesiology,Program Director,Northeast,79,112,711348,790386,869425,948464,4506,5007,5507,6009,88,99,108,118
Anesthesiology,Program Director,North Central,63,117,631570,701745,771919,842094,4750,5278,5806,6334,82,93,102,111
Anesthesiology,Program Director,South,37,115,644867,716519,788170,859822,5072,5636,6200,6764,79,89,98,107
Anesthesiology,Program Director,West,37,28,731292,812547,893802,975056,5268,5853,6438,7024,77,86,95,104
Anesthesiology,Division Chief,National,61,73,721151,801279,881407,961535,4695,5217,5738,6260,83,94,103,112
Anesthesiology,Division Chief,Northeast,67,136,771632,857368,943105,1028842,4268,4742,5216,5691,83,94,103,113
Anesthesiology,Division Chief,North Central,38,22,685093,761215,837336,913458,5732,6369,7006,7643,80,90,99,108
Anesthesiology,Division Chief,South,37,120,699516,777240,854965,932689,4824,5360,5896,6433,75,85,93,102
Anesthesiology,Division Chief,West,51,160,793266,881407,969548,1057688,5634,6261,6887,7513,84,95,105,114
Anesthesiology,Department Chair,National,70,187,788759,876399,964039,1051679,5946,6607,7267,7929,73,82,90,98
Anesthesiology,Department Chair,Northeast,35,80,843972,937747,1031521,1125296,4503,5004,5504,6005,85,96,105,114
Anesthesiology,Department Chair,North Central,73,69,749321,832579,915837,999095,5968,6632,7295,7958,74,83,91,100
Anesthesiology,Department Chair,South,53,191,765096,850107,935118,1020128,5130,5700,6270,6841,69,78,86,94
Anesthesiology,Department Chair,West,36,167,867635,964039,1060443,1156847,5536,6151,6766,7381,83,94,103,112
Anesthesiology,Chief of Surgery,National,55,183,816929,907699,998469,1089239,6220,6912,7602,8294,87,99,108,118
Anesthesiology,Chief of Surgery,Northeast,33,170,874114,971238,1068362,1165485,4942,5491,6040,6590,72,81,89,97
Anesthesiology,Chief of Surgery,North Central,72,100,776082,862314,948545,1034777,4420,4912,5403,5895,80,90,99,107
Anesthesiology,Chief of Surgery,South,51,185,792421,880468,968515,1056561,4642,5158,5673,6190,86,97,107,116
Anesthesiology,Chief of Surgery,West,61,105,898622,998469,1098316,1198163,6045,6718,7389,8061,83,94,103,112
Bone Marrow Transplant,Staff Physician,National,65,1164,258985,287761,316537,345313,3336,3707,4077,4448,62,69,75,82
Bone Marrow Transplant,Staff Physician,Northeast,93,693,277114,307905,338694,369485,3336,3707,4077,4448,62,69,75,82
Bone Marrow Transplant,Staff Physician,North Central,79,324,246036,273373,300710,328047,3336,3707,4077,4448,62,69,75,82
Bone Marrow Transplant,Staff Physician,South,114,1370,251216,279129,307041,334954,3336,3707,4077,4448,62,69,75,82
Bone Marrow Transplant,Staff Physician,West,85,1419,284884,316538,348190,379844,3336,3707,4077,4448,62,69,75,82
Bone Marrow Transplant,Program Director,National,52,55,305603,339559,373513,407469,2320,2578,2835,3093,73,82,89,97
Bone Marrow Transplant,Program Director,Northeast,41,152,326995,363328,399659,435992,2190,2434,2677,2921,86,96,104,114
Bone Marrow Transplant,Program Director,North Central,42,65,290322,322581,354838,387096,2567,2853,3138,3423,74,82,89,98
Bone Marrow Transplant,Program Director,South,38,157,296434,329372,362308,395245,2524,2805,3085,3366,75,84,91,99
Bone Marrow Transplant,Program Director,West,33,47,336163,373515,410865,448216,2903,3226,3548,3871,76,85,92,101
Bone Marrow Transplant,Division Chief,National,65,95,331501,368335,405167,442001,2943,3271,3597,3925,82,91,99,108
Bone Marrow Transplant,Division Chief,Northeast,48,62,354706,394118,433529,472941,2786,3096,3405,3715,68,76,83,91
Bone Marrow Transplant,Division Chief,North Central,75,174,314926,349918,384909,419901,2366,2629,2891,3155,76,85,93,101
Bone Marrow Transplant,Division Chief,South,75,55,321556,357285,393012,428741,2012,2236,2459,2683,69,77,84,92
Bone Marrow Transplant,Division Chief,West,69,127,364651,405168,445684,486201,2778,3087,3396,3705,85,95,103,113
Bone Marrow Transplant,Department Chair,National,76,137,362579,402866,443152,483438,2763,3070,3376,3684,80,89,97,106
Bone Marrow Transplant,Department Chair,Northeast,46,60,387960,431067,474172,517279,2591,2879,3166,3454,69,77,84,92
Bone Marrow Transplant,Department Chair,North Central,62,105,344450,382723,420994,459266,2172,2414,2655,2897,77,86,94,103
Bone Marrow Transplant,Department Chair,South,31,89,351702,390780,429857,468935,2959,3288,3616,3945,74,83,90,98
Bone Marrow Transplant,Department Chair,West,77,23,398837,443153,487467,531782,2767,3075,3382,3690,73,82,89,97
Bone Marrow Transplant,Chief of Surgery,National,71,67,375529,417254,458978,500704,2867,3186,3504,3823,78,87,95,104
Bone Marrow Transplant,Chief of Surgery,Northeast,30,48,401816,446462,491107,535753,2851,3169,3485,3802,76,84,92,100
Bone Marrow Transplant,Chief of Surgery,North Central,40,111,356752,396392,436029,475669,2660,2956,3251,3547,86,96,104,114
Bone Marrow Transplant,Chief of Surgery,South,48,111,364263,404737,445209,485683,2429,2700,2969,3239,76,85,92,101
Bone Marrow Transplant,Chief of Surgery,West,52,140,413082,458980,504876,550775,2055,2284,2512,2741,76,85,92,101
Cardiology,Staff Physician,National,51,476,208667,231853,255038,278223,5670,6300,6930,7560,67,75,82,90
Cardiology,Staff Physician,Northeast,130,830,223274,248083,272891,297699,5670,6300,6930,7560,67,75,82,90
Cardiology,Staff Physician,North Central,134,126,198234,220260,242286,264312,5670,6300,6930,7560,67,75,82,90
Cardiology,Staff Physician,South,144,1194,202407,224898,247387,269877,5670,6300,6930,7560,67,75,82,90
Cardiology,Staff Physician,West,103,1161,229534,255039,280542,306046,5670,6300,6930,7560,67,75,82,90
Cardiology,Program Director,National,64,186,246227,273587,300945,328304,4125,4583,5042,5500,76,85,93,102
Cardiology,Program Director,Northeast,64,162,263463,292738,322011,351285,4843,5381,5920,6458,77,87,95,104
Cardiology,Program Director,North Central,54,63,233916,259907,285898,311888,4615,5128,5641,6154,84,94,103,113
Cardiology,Program Director,South,61,184,238840,265379,291917,318454,3615,4017,4419,4821,87,98,107,117
Cardiology,Program Director,West,40,160,270850,300946,331040,361134,5094,5660,6226,6792,79,88,97,106
Cardiology,Division Chief,National,59,160,267094,296772,326449,356126,4012,4458,4904,5350,91,102,112,123
Cardiology,Division Chief,Northeast,73,104,285791,317546,349301,381055,4461,4957,5453,5949,79,89,97,107
Cardiology,Division Chief,North Central,77,192,253739,281934,310127,338320,4064,4516,4967,5419,92,103,113,124
Cardiology,Division Chief,South,54,164,259081,287869,316656,345442,4336,4818,5300,5782,87,98,107,118
Cardiology,Division Chief,West,33,60,293803,326449,359094,391739,5055,5617,6179,6740,91,101,111,122
Cardiology,Department Chair,National,77,78,292134,324595,357054,389513,4994,5549,6104,6659,84,94,103,113
Cardiology,Department Chair,Northeast,55,31,312583,347316,382047,416779,4121,4579,5037,5495,74,83,91,100
Cardiology,Department Chair,North Central,30,178,277527,308365,339201,370037,4918,5464,6011,6557,82,92,100,110
Cardiology,Department Chair,South,37,132,283370,314857,346342,377827,3837,4263,4689,5116,78,88,96,106
Cardiology,Department Chair,West,58,110,321348,357054,392759,428464,3726,4140,4554,4968,79,88,97,106
Cardiology,Chief of Surgery,National,63,132,302567,336187,369806,403424,4902,5447,5992,6537,91,102,111,122
Cardiology,Chief of Surgery,Northeast,65,64,323747,359720,395692,431664,4223,4692,5162,5631,93,104,114,125
Cardiology,Chief of Surgery,North Central,79,131,287439,319378,351315,383253,3655,4061,4467,4873,92,103,112,123
Cardiology,Chief of Surgery,South,55,180,293490,326102,358711,391321,4635,5150,5665,6180,75,85,92,102
Cardiology,Chief of Surgery,West,57,79,332824,369806,406786,443766,5023,5581,6139,6697,85,95,104,115
Cardiovascular Surgery,Staff Physician,National,143,779,198307,220341,242374,264408,2553,2837,3120,3404,56,63,69,75
Cardiovascular Surgery,Staff Physician,Northeast,132,530,212188,235765,259340,282917,2553,2837,3120,3404,56,63,69,75
Cardiovascular Surgery,Staff Physician,North Central,126,364,188391,209324,230255,251188,2553,2837,3120,3404,56,63,69,75
Cardiovascular Surgery,Staff Physician,South,130,1357,192357,213731,235103,256476,2553,2837,3120,3404,56,63,69,75
Cardiovascular Surgery,Staff Physician,West,78,1308,218137,242375,266612,290849,2553,2837,3120,3404,56,63,69,75
Cardiovascular Surgery,Program Director,National,36,111,234002,260002,286002,312002,2201,2446,2690,2935,76,85,94,102
Cardiovascular Surgery,Program Director,Northeast,75,100,250382,278203,306022,333842,1650,1834,2017,2201,73,82,90,98
Cardiovascular Surgery,Program Director,North Central,37,24,222302,247002,271701,296402,2130,2367,2604,2841,73,82,90,98
Cardiovascular Surgery,Program Director,South,33,68,226982,252202,277422,302642,1695,1884,2072,2260,68,77,84,91
Cardiovascular Surgery,Program Director,West,51,58,257402,286003,314602,343202,2044,2272,2498,2726,73,83,91,99
Cardiovascular Surgery,Division Chief,National,36,197,253833,282037,310239,338443,1884,2094,2303,2512,69,77,85,92
Cardiovascular Surgery,Division Chief,Northeast,71,38,271601,301779,331956,362134,1820,2023,2224,2427,75,84,92,100
Cardiovascular Surgery,Division Chief,North Central,40,189,241141,267935,294727,321521,1626,1807,1987,2168,77,87,96,104
Cardiovascular Surgery,Division Chief,South,75,121,246218,273575,300932,328290,2141,2379,2617,2855,63,70,77,84
Cardiovascular Surgery,Division Chief,West,45,45,279216,310240,341263,372287,1802,2002,2202,2403,78,88,96,104
Cardiovascular Surgery,Department Chair,National,61,93,277630,308478,339324,370172,1544,1716,1887,2059,66,75,82,89
Cardiovascular Surgery,Department Chair,Northeast,63,136,297064,330071,363077,396084,1546,1717,1889,2061,68,76,84,91
Cardiovascular Surgery,Department Chair,North Central,69,93,263748,293054,322358,351663,1915,2128,2340,2553,72,82,89,97
Cardiovascular Surgery,Department Chair,South,52,178,269301,299223,329144,359067,1545,1717,1888,2060,64,72,79,86
Cardiovascular Surgery,Department Chair,West,39,158,305393,339325,373256,407189,1929,2144,2358,2573,71,80,87,95
Cardiovascular Surgery,Chief of Surgery,National,75,149,287545,319495,351443,383392,1590,1767,1944,2121,66,75,82,89
Cardiovascular Surgery,Chief of Surgery,Northeast,34,190,307673,341859,376044,410230,2203,2448,2693,2938,63,70,77,84
Cardiovascular Surgery,Chief of Surgery,North Central,48,53,273168,303520,333871,364223,2013,2237,2460,2684,70,78,86,93
Cardiovascular Surgery,Chief of Surgery,South,68,144,278919,309910,340899,371891,2129,2366,2602,2839,73,82,90,98
Cardiovascular Surgery,Chief of Surgery,West,67,154,316299,351444,386587,421732,2273,2526,2778,3030,75,85,93,101
Child Development,Staff Physician,National,52,528,654039,726711,799381,872053,9247,10275,11302,12330,52,58,63,69
Child Development,Staff Physician,Northeast,131,1302,699822,777581,855338,933097,9247,10275,11302,12330,52,58,63,69
Child Development,Staff Physician,North Central,88,1466,621337,690375,759412,828450,9247,10275,11302,12330,52,58,63,69
Child Development,Staff Physician,South,89,1464,634418,704909,775400,845891,9247,10275,11302,12330,52,58,63,69
Child Development,Staff Physician,West,101,453,719443,799382,879319,959258,9247,10275,11302,12330,52,58,63,69
Child Development,Program Director,National,53,32,771766,857519,943270,1029022,7948,8832,9714,10598,65,72,78,86
Child Development,Program Director,Northeast,76,115,825790,917545,1009299,1101054,7118,7909,8700,9491,58,65,71,77
Child Development,Program Director,North Central,71,166,733178,814643,896106,977571,6585,7317,8048,8780,59,65,71,78
Child Development,Program Director,South,54,98,748613,831793,914972,998152,5816,6463,7109,7756,67,75,82,89
Child Development,Program Director,West,48,63,848943,943271,1037597,1131925,6168,6853,7538,8224,69,77,84,92
Child Development,Division Chief,National,48,71,837170,930190,1023208,1116228,5831,6479,7127,7775,63,70,76,84
Child Development,Division Chief,Northeast,33,43,895772,995303,1094833,1194364,7060,7845,8629,9414,69,77,84,92
Child Development,Division Chief,North Central,64,31,795312,883680,972048,1060416,8255,9172,10089,11007,60,67,73,80
Child Development,Division Chief,South,67,195,812055,902284,992512,1082741,8038,8932,9825,10718,71,79,86,95
Child Development,Division Chief,West,59,133,920887,1023209,1125529,1227851,6092,6770,7446,8124,64,72,78,85
Child Development,Department Chair,National,42,155,915655,1017395,1119134,1220874,7995,8884,9772,10661,72,80,87,96
Child Development,Department Chair,Northeast,78,30,979751,1088613,1197473,1306335,6202,6891,7580,8270,63,71,77,84
Child Development,Department Chair,North Central,47,30,869872,966526,1063177,1159830,7158,7954,8749,9544,59,66,72,79
Child Development,Department Chair,South,79,88,888185,986873,1085560,1184248,7139,7933,8726,9519,70,78,85,93
Child Development,Department Chair,West,43,74,1007221,1119135,1231047,1342962,5627,6253,6878,7503,68,76,83,91
Child Development,Chief of Surgery,National,75,119,948357,1053731,1159103,1264477,6205,6895,7585,8275,63,71,77,84
Child Development,Chief of Surgery,Northeast,66,155,1014742,1127492,1240240,1352990,5796,6441,7084,7729,61,68,74,81
Child Development,Chief of Surgery,North Central,63,192,900939,1001044,1101148,1201253,5720,6356,6992,7628,64,72,78,85
Child Development,Chief of Surgery,South,57,23,919906,1022119,1124330,1226543,7502,8336,9169,10003,71,80,87,95
Child Development,Chief of Surgery,West,63,71,1043193,1159104,1275013,1390925,5683,6315,6947,7578,60,66,72,79
Critical Care/Intensivist,Staff Physician,National,103,1340,614411,682680,750948,819216,5150,5723,6295,6867,36,41,45,49
Critical Care/Intensivist,Staff Physician,Northeast,129,1387,657420,730468,803514,876561,5150,5723,6295,6867,36,41,45,49
Critical Care/Intensivist,Staff Physician,North Central,50,740,583691,648546,713401,778255,5150,5723,6295,6867,36,41,45,49
Critical Care/Intensivist,Staff Physician,South,127,1107,595979,662200,728419,794639,5150,5723,6295,6867,36,41,45,49
Critical Care/Intensivist,Staff Physician,West,94,1452,675852,750948,826043,901137,5150,5723,6295,6867,36,41,45,49
Critical Care/Intensivist,Program Director,National,36,173,725005,805563,886119,966675,4055,4506,4956,5407,43,49,53,58
Critical Care/Intensivist,Program Director,Northeast,69,189,775756,861952,948147,1034342,3179,3533,3886,4239,41,47,52,56
Critical Care/Intensivist,Program Director,North Central,58,92,688755,765284,841813,918341,3289,3655,4021,4386,48,55,60,66
Critical Care/Intensivist,Program Director,South,49,91,703255,781396,859535,937674,3414,3794,4173,4553,48,55,60,66
Critical Care/Intensivist,Program Director,West,37,30,797506,886119,974731,1063342,3934,4372,4809,5246,40,46,50,55
Critical Care/Intensivist,Division Chief,National,42,58,786446,873831,961214,1048596,4420,4912,5403,5893,45,52,57,62
Critical Care/Intensivist,Division Chief,Northeast,56,28,841498,934999,1028498,1121998,3818,4243,4667,5091,49,55,61,66
Critical Care/Intensivist,Division Chief,North Central,53,48,747124,830139,913153,996167,3961,4402,4842,5282,49,56,61,67
Critical Care/Intensivist,Division Chief,South,72,135,762853,847616,932377,1017138,3581,3980,4377,4775,47,53,59,64
Critical Care/Intensivist,Division Chief,West,55,51,865091,961214,1057335,1153456,3108,3454,3800,4145,47,54,59,65
Critical Care/Intensivist,Department Chair,National,36,33,860176,955752,1051327,1146902,4225,4696,5165,5634,48,55,60,66
Critical Care/Intensivist,Department Chair,Northeast,48,165,920388,1022655,1124920,1227186,3829,4256,4681,5106,42,48,53,57
Critical Care/Intensivist,Department Chair,North Central,33,145,817167,907965,998761,1089557,4178,4643,5107,5571,46,52,58,63
Critical Care/Intensivist,Department Chair,South,60,122,834371,927080,1019787,1112495,3936,4374,4811,5248,49,56,61,67
Critical Care/Intensivist,Department Chair,West,69,68,946194,1051328,1156460,1261593,4074,4527,4980,5433,46,53,58,63
Critical Care/Intensivist,Chief of Surgery,National,77,157,890896,989886,1088875,1187863,3379,3755,4131,4506,43,49,54,59
Critical Care/Intensivist,Chief of Surgery,Northeast,30,135,953259,1059178,1165096,1271014,3359,3733,4106,4479,44,50,55,59
Critical Care/Intensivist,Chief of Surgery,North Central,72,59,846352,940392,1034431,1128470,3139,3488,3837,4185,47,53,58,64
Critical Care/Intensivist,Chief of Surgery,South,43,136,864170,960190,1056208,1152227,4519,5022,5524,6026,46,53,58,63
Critical Care/Intensivist,Chief of Surgery,West,63,186,979986,1088875,1197762,1306649,3799,4221,4643,5065,44,50,55,60
Dermatology,Staff Physician,National,90,292,635969,706633,777296,847959,3554,3949,4343,4738,66,74,81,88
Dermatology,Staff Physician,Northeast,84,1006,680487,756097,831706,907316,3554,3949,4343,4738,66,74,81,88
Dermatology,Staff Physician,North Central,147,192,604170,671301,738431,805561,3554,3949,4343,4738,66,74,81,88
Dermatology,Staff Physician,South,133,249,616890,685434,753977,822520,3554,3949,4343,4738,66,74,81,88
Dermatology,Staff Physician,West,101,798,699566,777296,855025,932754,3554,3949,4343,4738,66,74,81,88
Dermatology,Program Director,National,37,146,750443,833827,917209,1000591,2863,3182,3499,3817,88,99,109,118
Dermatology,Program Director,Northeast,75,166,802974,892195,981414,1070633,2339,2599,2858,3118,87,97,106,116
Dermatology,Program Director,North Central,64,110,712921,792135,871348,950562,2207,2453,2697,2943,90,101,111,120
Dermatology,Program Director,South,79,51,727930,808812,889693,970573,2169,2410,2650,2892,86,97,106,115
Dermatology,Program Director,West,72,189,825488,917209,1008930,1100650,2240,2489,2737,2986,84,94,103,112
Dermatology,Division Chief,National,55,175,814040,904490,994939,1085387,2403,2670,2936,3203,73,81,89,97
Dermatology,Division Chief,Northeast,45,107,871023,967804,1064584,1161364,2151,2390,2629,2868,74,83,91,98
Dermatology,Division Chief,North Central,39,101,773338,859265,945192,1031118,2954,3283,3610,3939,91,102,112,122
Dermatology,Division Chief,South,66,141,789619,877355,965090,1052825,2132,2369,2605,2842,85,95,104,113
Dermatology,Division Chief,West,57,108,895444,994939,1094432,1193926,2392,2658,2923,3189,85,96,105,114
Dermatology,Department Chair,National,54,79,890356,989286,1088214,1187142,2865,3184,3501,3820,82,92,101,110
Dermatology,Department Chair,Northeast,45,166,952681,1058536,1164389,1270242,2935,3261,3587,3913,87,97,107,116
Dermatology,Department Chair,North Central,61,47,845839,939822,1033803,1127785,2348,2609,2869,3130,92,103,112,122
Dermatology,Department Chair,South,39,142,863646,959607,1055568,1151528,2617,2908,3198,3489,88,99,108,117
Dermatology,Department Chair,West,62,196,979392,1088215,1197035,1305856,3153,3503,3852,4203,80,90,99,107
Dermatology,Chief of Surgery,National,47,116,922155,1024618,1127079,1229540,2236,2485,2733,2981,79,89,97,106
Dermatology,Chief of Surgery,Northeast,59,175,986706,1096341,1205974,1315608,2295,2550,2804,3059,75,84,92,100
Dermatology,Chief of Surgery,North Central,42,172,876047,973387,1070725,1168063,3074,3416,3757,4099,80,90,98,107
Dermatology,Chief of Surgery,South,33,88,894490,993879,1093266,1192654,2227,2475,2722,2969,78,88,96,104
