specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
General Pediatrics,Chief of Surgery,North Central,32,67,703366,781518,859669,937822,5981,6645,7310,7974,92,103,112,123
General Pediatrics,Chief of Surgery,South,48,111,718174,797971,877768,957565,5349,5943,6538,7132,77,87,94,103
General Pediatrics,Chief of Surgery,West,76,96,814424,904916,995407,1085899,5206,5785,6364,6942,82,91,100,109
Adolescent Medicine,Staff Physician,National,100,891,187679,208532,229385,250238,7919,8799,9678,10558,61,68,74,81
Adolescent Medicine,Staff Physician,Northeast,102,1054,200816,223129,245442,267755,7919,8799,9678,10558,61,68,74,81
Adolescent Medicine,Staff Physician,North Central,66,203,178295,198105,217915,237726,7919,8799,9678,10558,61,68,74,81
Adolescent Medicine,Staff Physician,South,72,287,182048,202276,222503,242731,7919,8799,9678,10558,61,68,74,81
Adolescent Medicine,Staff Physician,West,68,631,206447,229385,252323,275262,7919,8799,9678,10558,61,68,74,81
Adolescent Medicine,Program Director,National,47,88,221461,246068,270674,295281,5331,5923,6515,7107,74,83,90,99
Adolescent Medicine,Program Director,Northeast,54,46,236963,263293,289621,315951,6788,7543,8296,9050,76,85,93,102
Adolescent Medicine,Program Director,North Central,58,138,210388,233765,257140,280517,6651,7390,8129,8868,72,81,88,96
Adolescent Medicine,Program Director,South,41,134,214817,238686,262554,286423,4760,5289,5817,6346,74,83,90,99
Adolescent Medicine,Program Director,West,34,178,243607,270675,297741,324809,5876,6529,7181,7834,67,75,82,90
Adolescent Medicine,Division Chief,National,35,117,240229,266921,293612,320305,5039,5599,6159,6719,78,88,95,104
Adolescent Medicine,Division Chief,Northeast,51,42,257045,285606,314165,342726,5099,5666,6232,6799,74,82,90,98
Adolescent Medicine,Division Chief,North Central,32,53,228217,253575,278932,304290,5106,5674,6241,6808,77,86,93,102
Adolescent Medicine,Division Chief,South,53,178,233022,258914,284804,310696,5033,5592,6151,6710,76,85,92,101
Adolescent Medicine,Division Chief,West,49,57,264252,293613,322974,352335,5549,6166,6782,7399,72,80,87,96
Adolescent Medicine,Department Chair,National,37,126,262750,291945,321139,350333,6751,7501,8250,9001,79,88,96,105
Adolescent Medicine,Department Chair,Northeast,56,158,281143,312381,343618,374857,7011,7791,8569,9348,77,86,94,103
Adolescent Medicine,Department Chair,North Central,35,192,249613,277348,305082,332817,5595,6217,6838,7460,77,86,93,102
Adolescent Medicine,Department Chair,South,64,148,254868,283187,311504,339823,4880,5422,5964,6507,79,88,96,105
Adolescent Medicine,Department Chair,West,61,138,289025,321140,353253,385367,5618,6243,6866,7491,83,93,101,110
Adolescent Medicine,Chief of Surgery,National,67,20,272134,302372,332608,362845,6839,7599,8358,9118,84,94,102,112
Adolescent Medicine,Chief of Surgery,Northeast,56,79,291184,323538,355890,388245,4755,5283,5811,6340,80,89,97,106
Adolescent Medicine,Chief of Surgery,North Central,48,97,258528,287253,315977,344703,6108,6786,7464,8143,77,86,94,103
Adolescent Medicine,Chief of Surgery,South,78,100,263970,293301,322630,351960,6050,6723,7394,8067,78,86,94,103
Adolescent Medicine,Chief of Surgery,West,78,148,299348,332609,365869,399130,5874,6527,7179,7832,83,93,101,110
Allergy/Immunology,Staff Physician,National,111,1272,215242,239158,263074,286990,4208,4676,5143,5611,62,69,75,82
Allergy/Immunology,Staff Physician,Northeast,113,1476,230309,255899,281489,307079,4208,4676,5143,5611,62,69,75,82
Allergy/Immunology,Staff Physician,North Central,147,604,204480,227200,249920,272640,4208,4676,5143,5611,62,69,75,82
Allergy/Immunology,Staff Physician,South,121,230,208785,231983,255181,278380,4208,4676,5143,5611,62,69,75,82
Allergy/Immunology,Staff Physician,West,109,932,236766,263074,289381,315689,4208,4676,5143,5611,62,69,75,82
Allergy/Immunology,Program Director,National,78,84,253986,282207,310427,338648,2580,2866,3153,3440,84,93,101,111
Allergy/Immunology,Program Director,Northeast,64,35,271765,301961,332157,362353,3538,3931,4324,4717,69,77,84,91
Allergy/Immunology,Program Director,North Central,56,176,241286,268096,294905,321716,3747,4163,4579,4996,80,89,96,105
Allergy/Immunology,Program Director,South,54,191,246366,273741,301114,328489,3612,4014,4415,4817,70,78,85,93
Allergy/Immunology,Program Director,West,35,127,279384,310427,341470,372513,2609,2900,3189,3480,83,93,101,111
Allergy/Immunology,Division Chief,National,40,41,275510,306123,336734,367347,3623,4026,4428,4831,77,86,93,102
Allergy/Immunology,Division Chief,Northeast,44,199,294796,327551,360306,393061,2608,2898,3188,3478,72,80,87,95
Allergy/Immunology,Division Chief,North Central,62,31,261734,290816,319897,348980,3455,3840,4223,4608,70,78,85,93
Allergy/Immunology,Division Chief,South,61,170,267245,296939,326632,356327,2598,2887,3176,3465,72,81,88,96
Allergy/Immunology,Division Chief,West,58,24,303061,336735,370408,404082,3417,3797,4177,4557,73,82,89,97
Allergy/Immunology,Department Chair,National,48,45,301339,334822,368303,401786,2913,3237,3561,3885,78,87,94,103
Allergy/Immunology,Department Chair,Northeast,44,107,322433,358259,394084,429911,2589,2877,3164,3452,82,92,100,109
Allergy/Immunology,Department Chair,North Central,66,171,286272,318081,349888,381697,3029,3366,3702,4039,73,82,89,97
Allergy/Immunology,Department Chair,South,47,193,292299,324777,357254,389732,3479,3867,4253,4640,73,82,89,97
Allergy/Immunology,Department Chair,West,78,85,331473,368304,405133,441964,3300,3667,4033,4400,75,84,91,100
Allergy/Immunology,Chief of Surgery,National,75,166,312101,346780,381457,416135,3670,4078,4486,4894,72,81,88,96
Allergy/Immunology,Chief of Surgery,Northeast,64,126,333948,371054,408159,445265,2526,2807,3087,3368,81,90,98,107
Allergy/Immunology,Chief of Surgery,North Central,65,178,296496,329441,362384,395329,3784,4205,4625,5046,80,89,97,106
Allergy/Immunology,Chief of Surgery,South,30,133,302738,336376,370013,403651,3723,4138,4551,4965,80,89,97,106
Allergy/Immunology,Chief of Surgery,West,31,95,343311,381458,419603,457749,2545,2828,3110,3393,75,83,90,99
Anesthesiology,Staff Physician,National,128,815,204618,227354,250090,272825,2502,2780,3058,3336,70,78,85,93
Anesthesiology,Staff Physician,Northeast,104,754,218941,243269,267596,291923,2502,2780,3058,3336,70,78,85,93
Anesthesiology,Staff Physician,North Central,51,693,194387,215987,237585,259184,2502,2780,3058,3336,70,78,85,93
Anesthesiology,Staff Physician,South,74,1436,198480,220534,242587,264640,2502,2780,3058,3336,70,78,85,93
Anesthesiology,Staff Physician,West,103,523,225080,250090,275099,300108,2502,2780,3058,3336,70,78,85,93
Anesthesiology,Program Director,National,69,143,241449,268278,295106,321934,2052,2280,2508,2736,94,105,114,125
Anesthesiology,Program Director,Northeast,51,135,258351,287058,315764,344469,1956,2173,2390,2608,77,85,93,102
Anesthesiology,Program Director,North Central,73,63,229377,254864,280351,305837,1751,1946,2140,2335,96,107,116,127
Anesthesiology,Program Director,South,55,145,234206,260230,286253,312276,2193,2436,2680,2924,85,95,104,114
Anesthesiology,Program Director,West,55,59,265594,295106,324617,354127,1810,2011,2212,2413,95,105,115,126
Anesthesiology,Division Chief,National,46,119,261911,291014,320115,349216,2060,2289,2518,2747,84,94,102,112
Anesthesiology,Division Chief,Northeast,61,35,280245,311385,342523,373662,1509,1677,1845,2013,94,105,114,125
Anesthesiology,Division Chief,North Central,79,112,248816,276463,304109,331756,1700,1889,2078,2267,93,103,113,123
Anesthesiology,Division Chief,South,32,137,254054,282283,310512,338740,2031,2257,2483,2708,96,107,116,127
Anesthesiology,Division Chief,West,57,158,288102,320115,352127,384138,1892,2103,2313,2523,83,93,101,111
Anesthesiology,Department Chair,National,55,51,286466,318296,350126,381956,1844,2048,2253,2458,94,105,114,125
Anesthesiology,Department Chair,Northeast,35,111,306518,340577,374635,408692,1679,1866,2053,2239,85,95,104,114
Anesthesiology,Department Chair,North Central,70,41,272142,302382,332620,362858,1769,1966,2162,2359,90,101,110,120
Anesthesiology,Department Chair,South,63,104,277872,308748,339622,370497,2246,2495,2745,2994,80,90,98,107
Anesthesiology,Department Chair,West,33,100,315112,350126,385139,420151,1797,1997,2197,2397,87,97,106,116
Anesthesiology,Chief of Surgery,National,57,111,296696,329664,362631,395597,1968,2187,2406,2625,80,89,97,106
Anesthesiology,Chief of Surgery,Northeast,66,118,317465,352741,388015,423289,1977,2197,2417,2637,83,93,101,111
Anesthesiology,Chief of Surgery,North Central,78,48,281862,313181,344499,375817,2178,2420,2662,2904,82,91,99,109
Anesthesiology,Chief of Surgery,South,70,125,287796,319774,351752,383729,2128,2364,2601,2837,97,109,118,130
Anesthesiology,Chief of Surgery,West,42,116,326366,362631,398894,435157,1565,1739,1913,2087,86,96,104,114
Cardiology,Staff Physician,National,119,442,486125,540139,594152,648166,8542,9492,10441,11390,38,43,47,51
Cardiology,Staff Physician,Northeast,88,389,520154,577949,635743,693538,8542,9492,10441,11390,38,43,47,51
Cardiology,Staff Physician,North Central,96,422,461819,513132,564445,615758,8542,9492,10441,11390,38,43,47,51
Cardiology,Staff Physician,South,139,482,471541,523935,576328,628721,8542,9492,10441,11390,38,43,47,51
Cardiology,Staff Physician,West,130,154,534737,594153,653568,712983,8542,9492,10441,11390,38,43,47,51
Cardiology,Program Director,National,59,22,573628,637364,701100,764837,6324,7028,7730,8433,51,58,64,69
Cardiology,Program Director,Northeast,47,126,613781,681980,750177,818375,5401,6002,6602,7202,50,56,62,67
Cardiology,Program Director,North Central,59,154,544946,605496,666045,726595,7368,8187,9006,9825,43,48,53,58
Cardiology,Program Director,South,76,133,556419,618243,680067,741891,7076,7863,8649,9435,45,51,55,60
Cardiology,Program Director,West,76,131,630990,701101,771210,841320,6284,6983,7681,8379,46,53,58,63
Cardiology,Division Chief,National,38,192,622240,691378,760515,829653,6487,7208,7929,8650,46,52,57,62
Cardiology,Division Chief,Northeast,39,94,665797,739775,813751,887729,5554,6172,6789,7406,42,48,53,57
Cardiology,Division Chief,North Central,74,118,591128,656809,722489,788171,7039,7822,8604,9386,48,55,60,65
Cardiology,Division Chief,South,75,82,603573,670637,737700,804764,6542,7270,7997,8724,49,55,60,66
Cardiology,Division Chief,West,58,55,684464,760516,836567,912619,5647,6276,6903,7531,44,49,54,59
Cardiology,Department Chair,National,46,193,680575,756195,831813,907433,7089,7878,8665,9453,52,59,65,71
Cardiology,Department Chair,Northeast,62,94,728215,809129,890040,970954,6060,6734,7407,8080,52,59,65,70
Cardiology,Department Chair,North Central,42,198,646546,718385,790223,862062,6723,7471,8217,8964,45,51,56,61
Cardiology,Department Chair,South,40,153,660158,733509,806859,880210,5355,5951,6545,7140,45,52,56,61
Cardiology,Department Chair,West,78,122,748633,831814,914995,998177,6528,7254,7979,8705,48,55,60,65
Cardiology,Chief of Surgery,National,75,62,704881,783202,861521,939842,5513,6126,6738,7351,49,56,61,67
Cardiology,Chief of Surgery,Northeast,75,159,754223,838026,921828,1005631,5624,6250,6874,7499,44,50,55,60
Cardiology,Chief of Surgery,North Central,35,20,669637,744042,818445,892849,6359,7067,7773,8480,51,58,63,69
Cardiology,Chief of Surgery,South,68,103,683735,759706,835675,911646,6506,7230,7953,8676,44,50,54,59
Cardiology,Chief of Surgery,West,36,32,775370,861522,947673,1033826,5137,5709,6279,6850,50,57,62,68
Surgery (Cardiothoracic/Cardiovascular),Staff Physician,National,85,1417,546942,607714,668484,729256,5506,6118,6729,7341,53,59,64,70
Surgery (Cardiothoracic/Cardiovascular),Staff Physician,Northeast,115,745,585228,650254,715278,780304,5506,6118,6729,7341,53,59,64,70
Surgery (Cardiothoracic/Cardiovascular),Staff Physician,North Central,139,874,519595,577328,635060,692793,5506,6118,6729,7341,53,59,64,70
Surgery (Cardiothoracic/Cardiovascular),Staff Physician,South,89,857,530534,589482,648430,707378,5506,6118,6729,7341,53,59,64,70
Surgery (Cardiothoracic/Cardiovascular),Staff Physician,West,130,1492,601636,668485,735333,802181,5506,6118,6729,7341,53,59,64,70
Surgery (Cardiothoracic/Cardiovascular),Program Director,National,41,183,645392,717102,788811,860522,3601,4002,4401,4802,66,73,80,87
Surgery (Cardiothoracic/Cardiovascular),Program Director,Northeast,51,172,690569,767299,844028,920758,3919,4354,4789,5225,58,64,70,77
Surgery (Cardiothoracic/Cardiovascular),Program Director,North Central,79,105,613122,681247,749371,817496,4851,5391,5929,6468,67,75,81,89
Surgery (Cardiothoracic/Cardiovascular),Program Director,South,75,34,626030,695589,765147,834706,3607,4008,4409,4810,66,74,80,88
Surgery (Cardiothoracic/Cardiovascular),Program Director,West,61,172,709931,788812,867693,946574,3894,4327,4760,5192,69,77,84,91
Surgery (Cardiothoracic/Cardiovascular),Division Chief,National,69,97,700086,777873,855660,933447,4291,4768,5244,5721,72,80,86,95
Surgery (Cardiothoracic/Cardiovascular),Division Chief,Northeast,43,168,749092,832325,915556,998789,3643,4048,4452,4857,58,65,70,77
Surgery (Cardiothoracic/Cardiovascular),Division Chief,North Central,70,147,665082,738980,812877,886775,4749,5276,5803,6331,65,73,79,86
Surgery (Cardiothoracic/Cardiovascular),Division Chief,South,46,76,679083,754537,829990,905444,3937,4375,4812,5250,73,81,88,97
Surgery (Cardiothoracic/Cardiovascular),Division Chief,West,40,49,770095,855661,941226,1026792,4107,4564,5020,5476,58,65,71,77
Surgery (Cardiothoracic/Cardiovascular),Department Chair,National,72,191,765719,850799,935878,1020958,4289,4766,5242,5718,73,82,89,97
Surgery (Cardiothoracic/Cardiovascular),Department Chair,Northeast,42,190,819319,910355,1001389,1092425,3862,4291,4719,5149,58,64,70,77
Surgery (Cardiothoracic/Cardiovascular),Department Chair,North Central,51,147,727433,808259,889084,969910,3437,3819,4200,4582,60,67,72,79
Surgery (Cardiothoracic/Cardiovascular),Department Chair,South,77,194,742747,825275,907802,990329,3418,3798,4177,4557,70,78,85,93
Surgery (Cardiothoracic/Cardiovascular),Department Chair,West,78,172,842291,935879,1029466,1123054,3382,3758,4133,4509,65,72,78,86
Surgery (Cardiothoracic/Cardiovascular),Chief of Surgery,National,32,159,793066,881185,969302,1057421,4064,4516,4967,5419,69,77,83,91
Surgery (Cardiothoracic/Cardiovascular),Chief of Surgery,Northeast,67,86,848581,942868,1037153,1131440,4561,5068,5574,6081,70,78,85,93
Surgery (Cardiothoracic/Cardiovascular),Chief of Surgery,North Central,47,162,753413,837126,920837,1004550,3750,4167,4583,5000,66,74,80,88
Surgery (Cardiothoracic/Cardiovascular),Chief of Surgery,South,41,102,769274,854749,940223,1025698,4627,5142,5655,6170,68,76,82,90
Surgery (Cardiothoracic/Cardiovascular),Chief of Surgery,West,32,131,872373,969303,1066232,1163163,4383,4870,5357,5844,63,71,77,84
Child Development,Staff Physician,National,57,119,474007,526675,579342,632010,5333,5926,6518,7111,54,60,66,72
Child Development,Staff Physician,Northeast,124,235,507187,563542,619896,676251,5333,5926,6518,7111,54,60,66,72
Child Development,Staff Physician,North Central,65,1018,450306,500341,550375,600409,5333,5926,6518,7111,54,60,66,72
Child Development,Staff Physician,South,67,282,459787,510874,561962,613049,5333,5926,6518,7111,54,60,66,72
Child Development,Staff Physician,West,130,1185,521407,579342,637276,695211,5333,5926,6518,7111,54,60,66,72
Child Development,Program Director,National,60,101,559328,621476,683623,745772,4146,4607,5067,5528,66,73,81,88
Child Development,Program Director,Northeast,49,101,598481,664980,731477,797976,3758,4176,4593,5011,66,73,81,88
Child Development,Program Director,North Central,62,69,531362,590402,649442,708483,3366,3741,4114,4489,63,70,77,84
Child Development,Program Director,South,38,121,542548,602832,663115,723398,3627,4031,4433,4837,60,66,73,80
Child Development,Program Director,West,32,143,615261,683624,751986,820349,4412,4902,5392,5882,73,81,89,98
Child Development,Division Chief,National,75,155,606729,674144,741558,808973,4193,4659,5124,5591,74,82,90,98
Child Development,Division Chief,Northeast,30,110,649200,721334,793467,865601,4253,4726,5198,5671,66,73,80,88
Child Development,Division Chief,North Central,35,138,576392,640437,704480,768524,4155,4617,5079,5541,61,67,74,81
Child Development,Division Chief,South,66,63,588527,653919,719311,784703,4083,4537,4990,5444,67,75,82,90
Child Development,Division Chief,West,39,148,667402,741558,815713,889870,4385,4872,5359,5847,64,71,78,86
Child Development,Department Chair,National,79,188,663610,737345,811079,884814,3300,3667,4034,4401,66,73,81,88
Child Development,Department Chair,Northeast,42,174,710062,788959,867854,946751,4433,4927,5419,5912,72,80,88,96
Child Development,Department Chair,North Central,52,119,630429,700478,770525,840573,3904,4338,4772,5206,63,70,77,84
Child Development,Department Chair,South,48,42,643701,715224,786746,858269,4624,5139,5652,6166,71,79,87,95
Child Development,Department Chair,West,73,192,729971,811079,892187,973295,4785,5317,5848,6380,74,82,90,99
Child Development,Chief of Surgery,National,70,77,687310,763679,840046,916414,4254,4727,5199,5672,74,83,91,99
Child Development,Chief of Surgery,Northeast,48,112,735422,817136,898849,980563,4558,5065,5571,6078,74,82,90,98
Child Development,Chief of Surgery,North Central,51,99,652944,725495,798044,870594,3661,4068,4475,4882,67,75,82,90
Child Development,Chief of Surgery,South,74,80,666691,740768,814844,888922,3733,4148,4562,4977,71,79,87,95
Child Development,Chief of Surgery,West,62,27,756041,840047,924050,1008056,3655,4061,4467,4874,73,81,89,97
Critical Care/Intensivist,Staff Physician,National,132,1409,464354,515949,567544,619139,3199,3555,3910,4266,61,68,74,81
Critical Care/Intensivist,Staff Physician,Northeast,62,933,496859,552066,607272,662479,3199,3555,3910,4266,61,68,74,81
Critical Care/Intensivist,Staff Physician,North Central,67,993,441136,490152,539167,588182,3199,3555,3910,4266,61,68,74,81
Critical Care/Intensivist,Staff Physician,South,129,948,450423,500471,550517,600565,3199,3555,3910,4266,61,68,74,81
Critical Care/Intensivist,Staff Physician,West,98,136,510789,567544,624298,681053,3199,3555,3910,4266,61,68,74,81
Critical Care/Intensivist,Program Director,National,31,27,547938,608820,669702,730584,2224,2471,2718,2965,75,83,91,99
Critical Care/Intensivist,Program Director,Northeast,52,194,586293,651438,716581,781725,2317,2575,2832,3090,76,84,92,101
Critical Care/Intensivist,Program Director,North Central,38,43,520541,578379,636217,694055,2798,3109,3420,3731,78,87,95,104
Critical Care/Intensivist,Program Director,South,30,98,531499,590556,649611,708667,2026,2252,2476,2702,84,94,102,112
Critical Care/Intensivist,Program Director,West,50,57,602731,669702,736672,803643,2793,3103,3413,3724,74,83,90,99
Critical Care/Intensivist,Division Chief,National,39,175,594373,660415,726456,792498,1975,2195,2414,2634,69,77,84,92
Critical Care/Intensivist,Division Chief,Northeast,52,162,635979,706644,777308,847973,1951,2168,2385,2602,72,81,88,96
Critical Care/Intensivist,Division Chief,North Central,77,169,564654,627394,690133,752873,2455,2729,3001,3275,81,90,98,108
Critical Care/Intensivist,Division Chief,South,53,185,576542,640603,704662,768723,2142,2381,2618,2857,83,93,101,111
Critical Care/Intensivist,Division Chief,West,50,89,653810,726457,799102,871748,1952,2169,2386,2603,72,80,87,95
Critical Care/Intensivist,Department Chair,National,63,130,650096,722329,794561,866795,2075,2306,2537,2768,75,83,91,99
Critical Care/Intensivist,Department Chair,Northeast,79,105,695602,772892,850181,927471,2702,3003,3303,3604,81,90,98,108
Critical Care/Intensivist,Department Chair,North Central,37,78,617591,686213,754833,823455,2482,2759,3034,3311,70,78,85,93
Critical Care/Intensivist,Department Chair,South,76,27,630593,700659,770725,840791,2376,2640,2904,3168,69,77,83,91
Critical Care/Intensivist,Department Chair,West,64,60,715105,794562,874018,953475,2152,2391,2630,2869,84,94,102,112
Critical Care/Intensivist,Chief of Surgery,National,37,99,673313,748127,822939,897752,2860,3178,3496,3814,79,89,96,106
Critical Care/Intensivist,Chief of Surgery,Northeast,35,119,720445,800496,880544,960595,2305,2562,2818,3075,81,90,98,107
Critical Care/Intensivist,Chief of Surgery,North Central,40,117,639648,710720,781792,852864,2512,2791,3070,3350,80,89,97,106
Critical Care/Intensivist,Chief of Surgery,South,61,120,653114,725683,798250,870819,2498,2776,3053,3331,84,94,102,112
Critical Care/Intensivist,Chief of Surgery,West,57,172,740645,822939,905233,987527,2071,2301,2531,2761,77,86,94,102
Dermatology,Staff Physician,National,115,821,553499,614999,676498,737998,5177,5753,6328,6903,38,43,47,51
Dermatology,Staff Physician,Northeast,70,1497,592244,658049,723853,789658,5177,5753,6328,6903,38,43,47,51
Dermatology,Staff Physician,North Central,147,995,525824,584249,642673,701099,5177,5753,6328,6903,38,43,47,51
Dermatology,Staff Physician,South,125,680,536894,596549,656203,715858,5177,5753,6328,6903,38,43,47,51
Dermatology,Staff Physician,West,65,114,608849,676499,744148,811798,5177,5753,6328,6903,38,43,47,51
Dermatology,Program Director,National,64,135,653129,725699,798268,870838,4049,4499,4949,5399,44,50,55,59
Dermatology,Program Director,Northeast,37,143,698848,776498,854147,931797,3363,3737,4111,4484,43,49,53,58
Dermatology,Program Director,North Central,43,152,620472,689414,758355,827296,3138,3487,3835,4184,45,51,56,61
Dermatology,Program Director,South,56,88,633535,703928,774320,844713,3731,4146,4561,4975,42,48,52,57
Dermatology,Program Director,West,31,104,718442,798269,878095,957922,3714,4127,4539,4952,48,55,60,65
Dermatology,Division Chief,National,47,169,708479,787199,865918,944638,3107,3453,3798,4143,42,47,52,56
Dermatology,Division Chief,Northeast,76,61,758072,842303,926532,1010763,4067,4519,4971,5422,53,60,65,71
Dermatology,Division Chief,North Central,40,68,673055,747839,822622,897406,4515,5017,5518,6020,42,47,51,56
Dermatology,Division Chief,South,31,129,687224,763583,839940,916299,3669,4077,4485,4892,44,50,55,59
Dermatology,Division Chief,West,37,188,779327,865919,952510,1039102,3713,4126,4539,4951,52,59,65,70
Dermatology,Department Chair,National,32,183,774899,860999,947098,1033198,3558,3954,4349,4745,44,49,54,59
Dermatology,Department Chair,Northeast,63,99,829142,921269,1013395,1105522,4240,4712,5183,5654,45,51,56,61
Dermatology,Department Chair,North Central,78,161,736154,817949,899743,981538,4242,4714,5185,5657,50,57,62,68
Dermatology,Department Chair,South,67,195,751652,835169,918685,1002202,3379,3755,4130,4505,52,59,65,70
Dermatology,Department Chair,West,57,89,852389,947099,1041808,1136518,4570,5079,5587,6094,46,52,57,62
Dermatology,Chief of Surgery,National,31,180,802574,891749,980923,1070098,3112,3459,3805,4150,50,57,62,68
Dermatology,Chief of Surgery,Northeast,46,68,858754,954171,1049587,1145005,3621,4024,4427,4829,49,55,61,66
Dermatology,Chief of Surgery,North Central,38,87,762445,847161,931877,1016593,4435,4929,5422,5914,48,54,59,64
Dermatology,Chief of Surgery,South,77,42,778496,864996,951495,1037995,3565,3961,4357,4753,42,48,53,57
Dermatology,Chief of Surgery,West,58,121,882831,980924,1079015,1177108,4107,4564,5020,5476,43,49,53,58
Emergency Medicine,Staff Physician,National,65,1245,403597,448441,493285,538129,8207,9119,10030,10942,72,81,89,97
Emergency Medicine,Staff Physician,Northeast,75,889,431848,479832,527815,575798,8207,9119,10030,10942,72,81,89,97
Emergency Medicine,Staff Physician,North Central,121,1058,383417,426019,468621,511222,8207,9119,10030,10942,72,81,89,97
Emergency Medicine,Staff Physician,South,143,774,391489,434988,478487,521985,8207,9119,10030,10942,72,81,89,97
Emergency Medicine,Staff Physician,West,59,1240,443956,493285,542614,591942,8207,9119,10030,10942,72,81,89,97
Emergency Medicine,Program Director,National,59,108,476244,529161,582077,634992,5188,5764,6340,6917,83,93,102,111
Emergency Medicine,Program Director,Northeast,47,144,509581,566202,622822,679442,6420,7134,7847,8560,83,93,102,112
Emergency Medicine,Program Director,North Central,47,66,452432,502703,552973,603243,6333,7037,7740,8444,86,97,107,117
Emergency Medicine,Program Director,South,31,139,461957,513286,564614,615942,7250,8056,8861,9667,86,97,106,116
Emergency Medicine,Program Director,West,32,133,523868,582077,640284,698491,7148,7942,8736,9530,87,98,108,118
Emergency Medicine,Division Chief,National,45,34,516604,574005,631405,688805,6553,7282,8009,8738,99,111,123,134
Emergency Medicine,Division Chief,Northeast,36,170,552766,614185,675603,737022,6508,7231,7954,8677,84,95,104,114
Emergency Medicine,Division Chief,North Central,61,91,490774,545305,599835,654365,6210,6900,7590,8280,85,96,105,115
Emergency Medicine,Division Chief,South,54,98,501106,556785,612463,668141,5961,6624,7286,7948,91,103,113,123
Emergency Medicine,Division Chief,West,66,37,568264,631406,694546,757686,7019,7799,8578,9358,81,91,100,109
Emergency Medicine,Department Chair,National,66,103,565035,627818,690599,753381,5650,6278,6905,7533,86,96,106,115
Emergency Medicine,Department Chair,Northeast,70,181,604588,671765,738941,806117,5056,5618,6179,6741,86,96,106,115
Emergency Medicine,Department Chair,North Central,70,64,536784,596427,656069,715712,6504,7226,7948,8671,89,100,110,120
Emergency Medicine,Department Chair,South,53,63,548084,608983,669881,730779,6919,7688,8456,9225,93,105,116,126
Emergency Medicine,Department Chair,West,69,126,621539,690600,759659,828719,5267,5852,6437,7022,80,90,99,108
Emergency Medicine,Chief of Surgery,National,54,142,585215,650240,715264,780287,7208,8009,8809,9610,87,98,108,117
Emergency Medicine,Chief of Surgery,Northeast,57,121,626180,695757,765332,834907,6180,6867,7553,8240,93,105,116,126
Emergency Medicine,Chief of Surgery,North Central,48,185,555954,617728,679500,741273,6132,6813,7494,8175,91,102,113,123
