specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
Allergy and Immunology,Division Chief,Northeast,59,33,861019,956688,1052356,1148026,5938,6599,7258,7918,60,68,75,81
Allergy and Immunology,Division Chief,North Central,67,94,764456,849396,934335,1019275,4466,4962,5458,5955,55,62,68,74
Allergy and Immunology,Division Chief,South,53,100,780550,867278,954005,1040733,4891,5435,5978,6522,59,66,73,79
Allergy and Immunology,Division Chief,West,59,59,885160,983511,1081862,1180213,4346,4830,5312,5795,56,63,69,76
Allergy and Immunology,Department Chair,National,62,55,880131,977923,1075715,1173508,5654,6282,6910,7538,55,62,68,74
Allergy and Immunology,Department Chair,Northeast,36,96,941740,1046378,1151015,1255653,4597,5109,5619,6130,60,68,74,81
Allergy and Immunology,Department Chair,North Central,50,134,836124,929027,1021929,1114832,4096,4552,5007,5462,62,70,77,84
Allergy and Immunology,Department Chair,South,73,22,853727,948586,1043443,1138302,5873,6526,7178,7831,54,61,67,73
Allergy and Immunology,Department Chair,West,44,153,968144,1075716,1183286,1290858,4374,4861,5346,5833,63,72,79,86
Allergy and Immunology,Chief of Surgery,National,58,43,911564,1012849,1114133,1215419,5477,6086,6695,7304,55,62,68,74
Allergy and Immunology,Chief of Surgery,Northeast,78,73,975373,1083749,1192122,1300498,5946,6607,7267,7928,62,70,77,84
Allergy and Immunology,Chief of Surgery,North Central,73,87,865986,962207,1058426,1154648,5747,6387,7025,7664,58,66,72,78
Allergy and Immunology,Chief of Surgery,South,56,113,884217,982464,1080709,1178956,5277,5864,6450,7037,59,67,73,80
Allergy and Immunology,Chief of Surgery,West,37,31,1002720,1114134,1225546,1336960,5758,6398,7037,7677,52,59,65,71
Anesthesiology,Staff Physician,National,125,788,523850,582056,640261,698467,6561,7291,8020,8749,80,89,97,106
Anesthesiology,Staff Physician,Northeast,110,681,560519,622799,685079,747359,6561,7291,8020,8749,80,89,97,106
Anesthesiology,Staff Physician,North Central,140,481,497657,552953,608247,663543,6561,7291,8020,8749,80,89,97,106
Anesthesiology,Staff Physician,South,106,1438,508134,564594,621053,677512,6561,7291,8020,8749,80,89,97,106
Anesthesiology,Staff Physician,West,72,1189,576235,640261,704287,768313,6561,7291,8020,8749,80,89,97,106
Anesthesiology,Program Director,National,77,128,618143,686826,755507,824191,4870,5412,5953,6494,89,99,108,118
Anesthesiology,Program Director,Northeast,36,168,661413,734903,808393,881884,5736,6374,7011,7649,105,117,128,139
Anesthesiology,Program Director,North Central,52,88,587235,652484,717732,782981,5055,5618,6180,6741,103,115,125,137
Anesthesiology,Program Director,South,49,146,599598,666221,732842,799465,3969,4411,4852,5293,89,99,108,118
Anesthesiology,Program Director,West,42,112,679957,755508,831058,906610,4998,5555,6110,6665,97,108,117,128
Anesthesiology,Division Chief,National,56,120,670528,745031,819534,894037,4896,5441,5985,6529,98,109,119,130
Anesthesiology,Division Chief,Northeast,45,87,717464,797183,876901,956620,4442,4937,5430,5924,109,121,132,144
Anesthesiology,Division Chief,North Central,60,123,637001,707780,778557,849335,5113,5682,6250,6818,90,100,109,119
Anesthesiology,Division Chief,South,45,42,650412,722680,794948,867216,5074,5639,6203,6766,110,123,134,146
Anesthesiology,Division Chief,West,72,92,737580,819534,901487,983441,4043,4493,4942,5392,100,111,121,132
Anesthesiology,Department Chair,National,31,124,733390,814878,896365,977853,4309,4789,5268,5747,101,112,123,134
Anesthesiology,Department Chair,Northeast,60,102,784727,871919,959110,1046303,4169,4633,5097,5560,98,109,118,129
Anesthesiology,Department Chair,North Central,61,73,696720,774134,851547,928961,5186,5763,6340,6916,107,119,130,142
Anesthesiology,Department Chair,South,45,124,711388,790432,869474,948518,5212,5792,6371,6950,108,120,131,144
Anesthesiology,Department Chair,West,56,122,806729,896366,986001,1075639,3975,4418,4860,5301,102,114,124,136
Anesthesiology,Chief of Surgery,National,77,150,759582,843981,928378,1012777,4045,4495,4945,5394,94,105,114,125
Anesthesiology,Chief of Surgery,Northeast,62,167,812753,903059,993364,1083671,4923,5471,6018,6565,107,119,130,142
Anesthesiology,Chief of Surgery,North Central,40,107,721603,801782,881959,962138,4130,4589,5048,5507,92,102,111,122
Anesthesiology,Chief of Surgery,South,43,134,736795,818661,900527,982393,5710,6345,6980,7614,94,105,114,125
Anesthesiology,Chief of Surgery,West,38,130,835540,928379,1021216,1114054,4718,5243,5767,6291,93,104,113,124
Bone Marrow Transplant,Staff Physician,National,133,1144,369590,410656,451721,492787,4784,5316,5847,6379,86,96,105,115
Bone Marrow Transplant,Staff Physician,Northeast,128,645,395461,439401,483341,527282,4784,5316,5847,6379,86,96,105,115
Bone Marrow Transplant,Staff Physician,North Central,98,406,351110,390123,429134,468147,4784,5316,5847,6379,86,96,105,115
Bone Marrow Transplant,Staff Physician,South,60,589,358502,398336,438169,478003,4784,5316,5847,6379,86,96,105,115
Bone Marrow Transplant,Staff Physician,West,55,215,406549,451721,496893,542065,4784,5316,5847,6379,86,96,105,115
Bone Marrow Transplant,Program Director,National,78,109,436116,484574,533030,581488,3149,3500,3849,4200,97,108,118,130
Bone Marrow Transplant,Program Director,Northeast,70,187,466644,518494,570342,622192,3214,3572,3928,4286,98,110,120,131
Bone Marrow Transplant,Program Director,North Central,75,55,414310,460345,506379,552414,4022,4469,4916,5363,118,131,144,158
Bone Marrow Transplant,Program Director,South,39,118,423032,470036,517039,564044,3143,3492,3841,4191,106,119,130,142
Bone Marrow Transplant,Program Director,West,48,131,479727,533031,586333,639637,3343,3715,4086,4458,119,132,145,159
Bone Marrow Transplant,Division Chief,National,70,130,473075,525639,578202,630767,2920,3244,3568,3893,96,108,118,129
Bone Marrow Transplant,Division Chief,Northeast,66,194,506190,562434,618677,674921,3450,3834,4217,4600,118,132,144,158
Bone Marrow Transplant,Division Chief,North Central,57,91,449421,499357,549292,599228,4180,4645,5109,5573,103,115,126,138
Bone Marrow Transplant,Division Chief,South,73,174,458882,509870,560856,611844,4118,4576,5034,5492,115,128,140,153
Bone Marrow Transplant,Division Chief,West,79,73,520382,578203,636023,693844,4153,4615,5076,5538,107,119,130,143
Bone Marrow Transplant,Department Chair,National,61,32,517425,574918,632409,689901,4302,4780,5258,5736,108,121,132,145
Bone Marrow Transplant,Department Chair,Northeast,30,115,553645,615162,676678,738194,3040,3378,3715,4053,98,110,120,131
Bone Marrow Transplant,Department Chair,North Central,65,144,491554,546172,600788,655406,3945,4384,4822,5260,107,119,130,143
Bone Marrow Transplant,Department Chair,South,41,168,501903,557670,613437,669204,2972,3302,3632,3962,119,132,145,159
Bone Marrow Transplant,Department Chair,West,52,79,569168,632410,695650,758891,3146,3496,3846,4196,102,114,124,136
Bone Marrow Transplant,Chief of Surgery,National,41,141,535905,595451,654995,714541,3119,3466,3812,4159,119,133,146,160
Bone Marrow Transplant,Chief of Surgery,Northeast,61,133,573418,637132,700845,764559,3881,4312,4743,5175,102,113,124,136
Bone Marrow Transplant,Chief of Surgery,North Central,50,146,509110,565678,622245,678814,4258,4732,5204,5678,95,107,117,128
Bone Marrow Transplant,Chief of Surgery,South,44,66,519828,577587,635345,693104,3665,4072,4479,4887,109,121,133,146
Bone Marrow Transplant,Chief of Surgery,West,40,47,589496,654996,720494,785995,3207,3564,3920,4277,111,124,136,149
Cardiology,Staff Physician,National,70,762,346603,385115,423626,462138,2360,2623,2885,3147,83,93,102,111
Cardiology,Staff Physician,Northeast,52,153,370865,412073,453279,494487,2360,2623,2885,3147,83,93,102,111
Cardiology,Staff Physician,North Central,130,929,329272,365859,402444,439031,2360,2623,2885,3147,83,93,102,111
Cardiology,Staff Physician,South,71,115,336204,373561,410917,448273,2360,2623,2885,3147,83,93,102,111
Cardiology,Staff Physician,West,136,1043,381263,423626,465988,508351,2360,2623,2885,3147,83,93,102,111
Cardiology,Program Director,National,70,176,408991,454435,499878,545322,1635,1818,1999,2181,106,119,131,142
Cardiology,Program Director,Northeast,62,87,437620,486246,534870,583495,1891,2102,2312,2522,109,122,134,146
Cardiology,Program Director,North Central,30,158,388541,431713,474884,518056,2042,2270,2496,2723,94,105,115,126
Cardiology,Program Director,South,62,135,396721,440802,484882,528963,2109,2344,2579,2813,115,129,141,154
Cardiology,Program Director,West,54,112,449890,499879,549866,599855,2076,2307,2538,2768,109,122,134,146
Cardiology,Division Chief,National,69,98,443651,492947,542241,591536,1851,2057,2262,2468,94,105,115,125
Cardiology,Division Chief,Northeast,75,85,474707,527453,580198,632944,1807,2008,2209,2409,107,120,132,143
Cardiology,Division Chief,North Central,76,74,421469,468299,515129,561959,1472,1636,1799,1962,113,127,139,151
Cardiology,Division Chief,South,45,110,430342,478158,525974,573790,1764,1961,2157,2353,91,102,112,122
Cardiology,Division Chief,West,57,47,488017,542241,596465,650690,1717,1909,2099,2290,105,118,129,141
Cardiology,Department Chair,National,36,115,485244,539161,593076,646993,1827,2031,2234,2437,110,123,135,147
Cardiology,Department Chair,Northeast,50,74,519211,576902,634591,692282,1617,1798,1977,2157,108,121,132,144
Cardiology,Department Chair,North Central,53,125,460981,512202,563422,614643,2027,2253,2478,2704,112,126,138,150
Cardiology,Department Chair,South,62,140,470686,522986,575284,627583,1972,2192,2411,2629,109,123,134,146
Cardiology,Department Chair,West,49,58,533768,593077,652384,711692,1926,2141,2355,2569,100,112,123,134
Cardiology,Chief of Surgery,National,59,112,502574,558416,614257,670100,1978,2199,2418,2638,97,109,120,130
Cardiology,Chief of Surgery,Northeast,61,36,537754,597505,657255,717007,2007,2231,2454,2676,106,118,130,141
Cardiology,Chief of Surgery,North Central,39,96,477445,530495,583544,636595,2057,2286,2515,2743,95,106,116,127
Cardiology,Chief of Surgery,South,32,36,487497,541664,595829,649997,1811,2013,2214,2416,99,111,122,133
Cardiology,Chief of Surgery,West,43,165,552831,614258,675683,737110,2115,2351,2585,2820,108,121,132,144
Cardiothoracic Surgery,Staff Physician,National,92,376,310952,345503,380053,414603,7875,8750,9625,10500,70,78,85,93
Cardiothoracic Surgery,Staff Physician,Northeast,118,663,332718,369688,406656,443625,7875,8750,9625,10500,70,78,85,93
Cardiothoracic Surgery,Staff Physician,North Central,59,1124,295404,328227,361050,393872,7875,8750,9625,10500,70,78,85,93
Cardiothoracic Surgery,Staff Physician,South,52,1273,301623,335137,368651,402164,7875,8750,9625,10500,70,78,85,93
Cardiothoracic Surgery,Staff Physician,West,72,477,342047,380053,418058,456063,7875,8750,9625,10500,70,78,85,93
Cardiothoracic Surgery,Program Director,National,36,187,366923,407693,448462,489231,6115,6794,7474,8153,89,99,108,118
Cardiothoracic Surgery,Program Director,Northeast,48,53,392607,436232,479854,523477,6663,7403,8144,8884,88,98,107,117
Cardiothoracic Surgery,Program Director,North Central,58,138,348577,387308,426039,464769,6704,7449,8194,8939,87,97,106,116
Cardiothoracic Surgery,Program Director,South,62,170,355915,395462,435008,474554,5580,6200,6820,7440,81,91,99,108
Cardiothoracic Surgery,Program Director,West,79,44,403615,448462,493308,538154,5308,5898,6487,7077,81,90,98,108
Cardiothoracic Surgery,Division Chief,National,44,185,398018,442243,486467,530691,6905,7673,8440,9207,80,89,97,107
Cardiothoracic Surgery,Division Chief,Northeast,66,79,425879,473200,520520,567840,4858,5397,5937,6477,83,93,101,111
Cardiothoracic Surgery,Division Chief,North Central,66,167,378117,420131,462144,504157,5224,5804,6385,6965,93,103,113,123
Cardiothoracic Surgery,Division Chief,South,36,76,386078,428976,471873,514771,5772,6414,7055,7697,88,98,107,117
Cardiothoracic Surgery,Division Chief,West,32,80,437820,486468,535114,583761,6092,6769,7446,8123,91,102,111,121
Cardiothoracic Surgery,Department Chair,National,32,97,435332,483704,532074,580444,5922,6580,7238,7896,81,90,98,107
Cardiothoracic Surgery,Department Chair,Northeast,41,198,465806,517563,569319,621075,5465,6072,6680,7287,79,88,96,105
Cardiothoracic Surgery,Department Chair,North Central,52,30,413566,459518,505470,551421,6533,7259,7985,8711,95,106,116,127
Cardiothoracic Surgery,Department Chair,South,30,98,422272,469193,516111,563030,6603,7337,8071,8805,82,91,99,109
Cardiothoracic Surgery,Department Chair,West,44,89,478866,532074,585281,638488,5216,5796,6375,6955,84,93,102,111
Cardiothoracic Surgery,Chief of Surgery,National,70,83,450880,500979,551076,601174,6403,7115,7826,8538,80,89,97,107
Cardiothoracic Surgery,Chief of Surgery,Northeast,38,129,482442,536047,589652,643256,5029,5588,6146,6705,96,107,116,127
Cardiothoracic Surgery,Chief of Surgery,North Central,58,80,428336,475930,523523,571115,6070,6744,7418,8093,97,109,118,130
Cardiothoracic Surgery,Chief of Surgery,South,35,82,437353,485949,534544,583139,6353,7059,7765,8471,97,108,117,128
Cardiothoracic Surgery,Chief of Surgery,West,66,101,495968,551077,606184,661291,6653,7392,8131,8871,84,93,102,111
Developmental-Behavioral Medicine,Staff Physician,National,56,1426,463630,515145,566659,618174,3052,3392,3731,4070,43,48,52,57
Developmental-Behavioral Medicine,Staff Physician,Northeast,99,260,496084,551205,606325,661446,3052,3392,3731,4070,43,48,52,57
Developmental-Behavioral Medicine,Staff Physician,North Central,112,925,440448,489387,538326,587265,3052,3392,3731,4070,43,48,52,57
Developmental-Behavioral Medicine,Staff Physician,South,118,684,449721,499690,549659,599628,3052,3392,3731,4070,43,48,52,57
Developmental-Behavioral Medicine,Staff Physician,West,89,523,509993,566659,623324,679991,3052,3392,3731,4070,43,48,52,57
Developmental-Behavioral Medicine,Program Director,National,76,32,547083,607871,668657,729445,1948,2165,2381,2598,50,56,60,66
Developmental-Behavioral Medicine,Program Director,Northeast,75,125,585379,650422,715463,780506,2464,2739,3013,3286,47,53,57,63
Developmental-Behavioral Medicine,Program Director,North Central,56,190,519729,577477,635224,692973,2334,2594,2854,3113,52,58,63,69
Developmental-Behavioral Medicine,Program Director,South,73,65,530670,589634,648597,707561,2559,2845,3129,3413,53,59,64,71
Developmental-Behavioral Medicine,Program Director,West,69,169,601791,668658,735523,802389,1878,2087,2295,2504,56,62,67,74
Developmental-Behavioral Medicine,Division Chief,National,33,86,593446,659385,725323,791262,2215,2461,2707,2954,51,56,61,67
Developmental-Behavioral Medicine,Division Chief,Northeast,69,22,634987,705542,776096,846651,2016,2240,2464,2688,54,60,65,71
Developmental-Behavioral Medicine,Division Chief,North Central,71,79,563774,626416,689057,751699,1944,2160,2376,2592,48,54,58,64
Developmental-Behavioral Medicine,Division Chief,South,55,128,575643,639604,703563,767524,2174,2417,2658,2900,48,54,59,64
Developmental-Behavioral Medicine,Division Chief,West,48,197,652791,725324,797855,870388,1945,2162,2378,2594,48,53,58,63
Developmental-Behavioral Medicine,Department Chair,National,56,73,649082,721203,793322,865443,2227,2475,2723,2970,51,57,62,68
Developmental-Behavioral Medicine,Department Chair,Northeast,69,81,694517,771687,848855,926024,2723,3026,3328,3631,50,56,61,67
Developmental-Behavioral Medicine,Department Chair,North Central,32,111,616627,685142,753656,822171,2609,2900,3190,3480,52,58,62,68
Developmental-Behavioral Medicine,Department Chair,South,71,141,629609,699566,769522,839480,2424,2695,2964,3233,54,60,65,71
Developmental-Behavioral Medicine,Department Chair,West,34,193,713990,793323,872654,951987,2137,2375,2612,2850,56,63,68,75
Developmental-Behavioral Medicine,Chief of Surgery,National,78,20,672263,746960,821655,896352,1984,2205,2426,2646,52,58,63,70
Developmental-Behavioral Medicine,Chief of Surgery,Northeast,71,102,719321,799247,879171,959096,2647,2942,3237,3531,53,59,64,70
Developmental-Behavioral Medicine,Chief of Surgery,North Central,74,171,638650,709612,780572,851534,2695,2995,3294,3594,54,60,65,72
Developmental-Behavioral Medicine,Chief of Surgery,South,51,189,652095,724551,797005,869461,2150,2389,2628,2867,55,61,66,73
Developmental-Behavioral Medicine,Chief of Surgery,West,63,190,739489,821656,903821,985987,2417,2686,2954,3223,56,62,67,74
Critical Care Medicine,Staff Physician,National,70,1253,538204,598005,657805,717606,2971,3302,3632,3962,45,50,55,60
Critical Care Medicine,Staff Physician,Northeast,64,193,575878,639865,703851,767838,2971,3302,3632,3962,45,50,55,60
Critical Care Medicine,Staff Physician,North Central,80,940,511293,568104,624914,681725,2971,3302,3632,3962,45,50,55,60
Critical Care Medicine,Staff Physician,South,64,552,522057,580064,638070,696077,2971,3302,3632,3962,45,50,55,60
Critical Care Medicine,Staff Physician,West,75,1330,592024,657805,723585,789366,2971,3302,3632,3962,45,50,55,60
Critical Care Medicine,Program Director,National,55,64,635080,705645,776209,846775,2347,2609,2869,3130,60,67,74,80
Critical Care Medicine,Program Director,Northeast,38,43,679536,755041,830544,906049,2421,2690,2959,3228,57,63,69,76
Critical Care Medicine,Program Director,North Central,70,51,603326,670363,737399,804436,2657,2953,3248,3544,56,63,69,75
Critical Care Medicine,Program Director,South,70,25,616028,684476,752923,821371,2366,2630,2893,3156,62,69,76,83
Critical Care Medicine,Program Director,West,60,41,698588,776210,853830,931452,2243,2493,2742,2991,50,56,61,67
Critical Care Medicine,Division Chief,National,55,192,688901,765446,841990,918535,2634,2928,3220,3513,62,69,76,83
Critical Care Medicine,Division Chief,Northeast,75,162,737124,819027,900929,982833,2564,2850,3135,3420,50,56,61,67
Critical Care Medicine,Division Chief,North Central,38,115,654456,727174,799890,872608,2204,2450,2695,2940,51,57,62,68
Critical Care Medicine,Division Chief,South,31,138,668234,742483,816730,890979,2098,2332,2565,2798,50,56,61,67
Critical Care Medicine,Division Chief,West,61,199,757791,841991,926189,1010389,2156,2396,2636,2876,50,56,62,67
Critical Care Medicine,Department Chair,National,79,108,753485,837207,920926,1004648,2040,2267,2493,2720,49,55,60,66
Critical Care Medicine,Department Chair,Northeast,71,152,806229,895811,985391,1074973,2288,2543,2797,3051,55,62,68,74
Critical Care Medicine,Department Chair,North Central,50,90,715811,795346,874880,954415,2402,2670,2937,3203,51,56,62,68
Critical Care Medicine,Department Chair,South,64,163,730881,812090,893299,974508,1861,2068,2275,2481,62,68,75,82
Critical Care Medicine,Department Chair,West,54,100,828834,920927,1013019,1105113,1857,2063,2270,2476,57,63,69,76
Critical Care Medicine,Chief of Surgery,National,56,69,780395,867107,953817,1040528,1835,2040,2244,2448,56,62,68,74
Critical Care Medicine,Chief of Surgery,Northeast,42,192,835023,927804,1020584,1113365,2086,2319,2550,2782,58,64,71,77
Critical Care Medicine,Chief of Surgery,North Central,69,184,741376,823751,906126,988502,1835,2039,2243,2447,53,59,65,71
Critical Care Medicine,Chief of Surgery,South,42,155,756983,841094,925202,1009312,2039,2266,2492,2719,51,56,62,68
Critical Care Medicine,Chief of Surgery,West,67,156,858435,953817,1049198,1144581,1974,2194,2413,2632,58,65,71,78
Dermatology,Staff Physician,National,75,745,228858,254287,279715,305144,8707,9675,10642,11610,50,56,61,67
Dermatology,Staff Physician,Northeast,76,947,244878,272087,299295,326504,8707,9675,10642,11610,50,56,61,67
Dermatology,Staff Physician,North Central,100,776,217415,241572,265729,289886,8707,9675,10642,11610,50,56,61,67
Dermatology,Staff Physician,South,58,1331,221992,246658,271323,295989,8707,9675,10642,11610,50,56,61,67
Dermatology,Staff Physician,West,63,143,251743,279715,307686,335658,8707,9675,10642,11610,50,56,61,67
Dermatology,Program Director,National,32,121,270052,300058,330063,360069,5434,6038,6641,7245,68,76,83,91
Dermatology,Program Director,Northeast,66,32,288956,321062,353168,385274,5612,6235,6859,7483,68,76,83,91
Dermatology,Program Director,North Central,75,107,256549,285055,313560,342066,6859,7621,8383,9146,59,66,72,79
Dermatology,Program Director,South,42,34,261950,291056,320161,349267,6755,7506,8256,9007,67,75,82,90
Dermatology,Program Director,West,58,97,297057,330064,363070,396076,6954,7727,8500,9273,67,75,82,90
Dermatology,Division Chief,National,59,182,292938,325487,358035,390584,5299,5888,6477,7066,61,68,74,82
Dermatology,Division Chief,Northeast,50,81,313443,348271,383097,417925,7054,7839,8622,9407,55,62,68,74
Dermatology,Division Chief,North Central,45,104,278291,309212,340133,371055,5814,6460,7106,7752,55,62,67,74
Dermatology,Division Chief,South,53,140,284150,315722,347294,378866,6099,6777,7455,8133,69,77,84,93
Dermatology,Division Chief,West,44,65,322232,358036,393838,429642,6089,6766,7443,8120,55,62,67,74
Dermatology,Department Chair,National,74,61,320401,356001,391601,427201,6367,7074,7782,8489,68,76,83,91
Dermatology,Department Chair,Northeast,50,155,342829,380921,419013,457105,5279,5866,6453,7040,57,64,70,77
Dermatology,Department Chair,North Central,41,48,304381,338201,372020,405841,6074,6749,7424,8099,67,75,82,90
Dermatology,Department Chair,South,45,42,310789,345321,379852,414385,6524,7249,7974,8699,57,64,70,76
Dermatology,Department Chair,West,64,162,352441,391601,430761,469921,5691,6324,6956,7589,63,70,77,84
Dermatology,Chief of Surgery,National,41,132,331844,368716,405586,442458,5830,6478,7125,7774,57,64,70,77
Dermatology,Chief of Surgery,Northeast,63,115,355073,394526,433977,473430,6128,6810,7490,8172,62,70,76,83
